   ,VITI,MUAJI,PERSHKRIMI_SEKTORIT,LLOJI_KOMPAN,KOMUNA,PEN_NO,PEN_TYPE_DESC_F,NR_TATIM,NR_GJOBAVE,VLERA
169,2023,8,"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
170,2023,5,Industria perpunuese,SH.P.K.,PRISHTINË,408,Nd.Neni.53(2.4)-Law 03/L-222,2,2,5000
171,2018,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PEJË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,2,250
172,2017,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GRAÇANICË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,2,500
173,2023,2,Industria perpunuese,Kompani e huaj,PRISHTINË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
174,2020,10,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,FUSHË KOSOVË,422,Nd.Neni.53.6-Law 03/L-222,1,1,500
175,2023,8,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
176,2018,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,RAHOVEC,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
177,2018,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
178,2018,8,Person Fizik,Person fizik,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
179,2021,8,Ndertimtaria,Individual,GJAKOVË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,875
180,2021,6,Aktivitetet e tjera sherbyese,Individual,PRISHTINË,423,Nd.Neni.59-Law 03/L-222,1,1,230.97
